Paper/Book,Authors,Year,Type of study,Industrial/Academic,"Reference Archi-
tecture?","AI-Agentic
Features","Human
Role",Results,Key Findings,Open Questions,Link,Column 1
"Hello, It’s GPT-2: How Can I Help You? Towards the Use of Pretrained Language Models for Task-Oriented Dialogue Systems","P. Budzianowski, I. Vulić",2019,Experimental design using GPT-2 for task-based dialogue,Academic & Industrial,No – follows seq2seq GPT-style architecture,Yes – dialogue turn management via pretrained transformer,Human as requestor; no explicit policy module,Shows competitive performance with task-specific baselines on MultiWOZ,Pretrained models can generalize dialogue behavior across domains with text-only interface,How to maintain long-term dialogue context and manage domain-specific precision?,,
Cognitive Architectures: Research Issues and Challenges,"P. Langley, J. Laird, S. Rogers",2009,Conceptual review,Academic,"Yes – describes Soar, ACT-R, ICARUS, PRODIGY","Yes – full-stack agents with memory, goals, planning",Human-inspired cognitive agents and modeling,System-level view of agent components and integration challenges,"Cognitive architectures must unify perception, memory, learning, reasoning, and action",How to achieve real-time performance and human-level generality?,,
Human–Agent Team Dynamics: A Review and Future Research Opportunities,"Iftikhar, Chiu, Khan, Caudwell",2024,Systematic Literature Review,Academic,No (conceptual framework),"Autonomy, Shared Cognition, Transparency, Function Allocation        ","Team Member, Overseer, Collaborator","Synthesizes 101 studies; proposes a model of team dynamics based on structure, composition, and mediating mechanisms","Trust, coordination, information sharing, and adaptability are essential. Gaps in shared leadership and team adaptability are highlighted.",How can shared mental models be scaled? How should agents negotiate roles dynamically? What design patterns best support team adaptation?,	https://doi.org/10.1109/TEM.2023.3331369,
Self-Directing AI: The Road to Fully Autonomous AI Agents,"Jovanović, Campbell",2025,Conceptual Overview + Architecture,Academic/Industry Mix,Yes,"Autonomy spectrum, agent orchestration, multimodal interaction, HITL governance","Supervisor, Collaborator, Monitor","Defines layered agent architecture with interfaces, services, orchestration, safety, personalization","Agents must be modular, trust-aware, and capable of human oversight and task collaboration",How to evaluate agents reliably? How to balance autonomy with safety and trust?,https://doi.org/10.1109/MC.2025.3529136,
Swiss Cheese Model for AI Safety: A Taxonomy and Reference Architecture for Multi-Layered Guardrails of Foundation Model Based Agents,"Shamsujjoha, Lu, Zhao, Zhu",2025,Conceptual Framework + Taxonomy,Academic,Yes (runtime safety architecture),"Foundation model agents, guardrails, control interfaces, prompt management",Reactive oversight only,"Proposes layered safety architecture with guardrails across input, API, memory, and output phases","Safety requires layered, runtime guardrails; oversight must be embedded, not just post hoc",How to balance proactive agent autonomy with multi-point containment? How can layers be dynamically reconfigured?,https://arxiv.org/abs/2408.02205,
Position Paper: Towards Open Complex Human-AI Agents Collaboration System for Problem-Solving and Knowledge Management,Ju Wu and Calvin K. L. Or,2025,Position Paper / Conceptual Framework,Academic,Yes (conceptual model: HE2-Net),"Multi-agent coordination, cybernetic feedback, hybrid cognition, knowledge sharing","Co-planner, cognitive collaborator",Proposes HE2-Net as a unifying framework for coordinating symbolic and LLM-based agents with humans,"Highlights need for epistemic governance, layered control, and feedback-driven co-evolution",How can HE2-Net be operationalized in software architectures? How to evaluate long-term H-AI symbiosis?,https://arxiv.org/abs/2505.00018,
"Multiagent Systems: Algorithmic, Game-Theoretic, and Logical Foundations",Wooldridge; Jennings,2013,Theoretical / Educational (Textbook),Academic,No,Yes - Fundamental theory and algorithms behind autonomous multi-agent systems.,Not the focus (humans discussed abstractly),"Provides foundational theories and algorithms for multiagent systems, serving as a comprehensive textbook.","Coordination, negotiation, and logic-based reasoning are foundational in multiagent systems and require formal modeling.",How can multiagent coordination scale in uncertain or dynamic environments with minimal human input?,https://www.masfoundations.org/mas.pdf,
Human-Centric Artificial Intelligence Architecture for Industry 5.0 Applications,"García-García, García-Hernández, Fernández-Cerero, Valenzuela-Díaz",2023,Conceptual Framework + Taxonomy,Academic,Yes,Yes - Architecture focused on human-agent collaboration in Industry 5.0.,Central – Human as co-creator and decision-maker,Proposes an AI architecture for Industry 5.0 that emphasizes human-centricity and cyber-physical systems integration.,Industry 5.0 demands architectures where humans and AI cooperate closely; emphasizes need for cyber-physical-human integration.,What governance models support sustainable human-AI collaboration in Industry 5.0 architectures?,https://arxiv.org/abs/2203.10794,
Design Patterns for Machine Learning Based Systems with Human-in-the-Loop,"Zhou, Zhan, Liu, Zhuang",2022,Pattern catalog,Academic,No,Yes - Patterns including agentic AI components interacting with humans.,"Human-in-the-loop, design collaborator and evaluator",Presents design patterns to guide the development of ML systems with human involvement in the loop.,Human involvement improves ML system robustness and trust; design patterns support ethical and reliable design.,How can human-in-the-loop design patterns be adapted for emerging ML technologies like foundation models?,https://arxiv.org/abs/2312.00582,
A review of verbal and non-verbal human–robot interactive communication,"Castro-González, Bartneck",2021,Literature Review,Academic,No,Yes - Discusses communication capabilities in human-agent (robot) interaction.,"Human is observer, social peer, and system designer",Reviews human–robot communication methods and suggests design implications for interactive systems.,"Effective communication between humans and robots relies on combining verbal and non-verbal cues, requiring interdisciplinary design.",How can social and cultural norms be better integrated into HRI for diverse user populations?,https://arxiv.org/pdf/1401.4994,
IEEE 7000-2021 - Standard for Model Process for Addressing Ethical Concerns During System Design,IEEE Standards Association,2021,Technical Report / Conceptual Guide,Industrial,No,No,"Architects as designers, decision-makers, and evaluators",Outlines a process standard for embedding ethical values into system design; aimed at practical implementation.,Embedding ethics into system design is feasible via standardization; value-based design processes are implementable in practice.,How can ethical standards be operationalized effectively across diverse system contexts and industries?,https://ieeexplore-ieee-org.proxy.lnu.se/document/9536679,
"AI4People—An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations","Floridi, Cowls, Beltrametti, Chatila, Chazerand, Dignum, Luetge, Madelin, Pagallo, Rossi, Schafer, Valcke, Vayena",2018,Conceptual Essay,Academic,No,No,Human as supervisor and governor with validation roles,Proposes a comprehensive ethical framework (AI4People) with principles and policy suggestions for trustworthy AI.,"Ethical AI requires a structured approach balancing principles, policies, and practical governance tools.",What enforcement mechanisms can ensure ethical principles are upheld in deployed AI systems?,https://link.springer.com/article/10.1007/s11023-018-9482-5,
